student_id,academic_year,grade,section,NoOfSubjects,Q1Sum,Q1Rank,Q1AllSectionRank,Q1StudentCount,Q2Sum,Q2Rank,Q2AllSectionRank,Q2StudentCount,Sem1Rank,Q3Sum,Q3Rank,Q3AllSectionRank,Q3StudentCount,Q4Sum,Q4Rank,Q4AllSectionRank,Q4TotalStudents,Sem2Rank,OverAllRank,TotalNumber,Over25NTileRank
1001,2014,9,A,6,18,6,12,12,132,6,12,12,6,474,1,1,12,471,4,8,12,6,12,6,4
1002,2014,9,A,6,54,5,11,12,540,1,1,12,4,468,5,10,12,415,6,12,12,3,8,6,3
1003,2014,9,A,6,90,4,10,12,540,1,1,12,3,354,6,12,12,439,5,11,12,5,11,6,4
1014,2014,9,A,6,295,1,3,12,198,5,11,12,5,474,1,1,12,480,1,1,12,4,9,6,3
1016,2014,9,A,6,269,2,4,12,540,1,1,12,1,474,1,1,12,480,1,1,12,1,3,6,1
1017,2014,9,A,6,266,3,5,12,540,1,1,12,2,474,1,1,12,480,1,1,12,2,4,6,2
1004,2014,9,B,6,126,5,8,12,540,1,1,12,4,382,6,11,12,453,5,9,12,4,6,6,2
1005,2014,9,B,6,162,3,6,12,540,1,1,12,3,474,1,1,12,450,6,10,12,3,5,6,2
1006,2014,9,B,6,582,1,1,12,540,1,1,12,1,474,1,1,12,480,1,1,12,1,1,6,1
1018,2014,9,B,6,126,5,8,12,347,5,9,12,6,474,1,1,12,480,1,1,12,6,10,6,4
1019,2014,9,B,6,162,3,6,12,370,4,8,12,5,474,1,1,12,480,1,1,12,5,7,6,3
1020,2014,9,B,6,582,1,1,12,244,6,10,12,2,474,1,1,12,480,1,1,12,2,2,6,1
1001,2015,10,A,3,273,1,1,7,270,1,1,7,1,237,1,1,7,240,1,1,7,1,1,4,1
1003,2015,10,A,3,237,2,3,7,270,1,1,7,2,237,1,1,7,240,1,1,7,2,3,4,2
1005,2015,10,A,3,201,3,5,7,270,1,1,7,3,237,1,1,7,240,1,1,7,3,5,4,3
1007,2015,10,A,3,165,4,7,7,270,1,1,7,4,237,1,1,7,240,1,1,7,4,7,4,4
1002,2015,10,B,3,255,1,2,7,270,1,1,7,1,237,1,1,7,240,1,1,7,1,2,3,1
1004,2015,10,B,3,219,2,4,7,270,1,1,7,2,237,1,1,7,240,1,1,7,2,4,3,2
1006,2015,10,B,3,183,3,6,7,270,1,1,7,3,237,1,1,7,240,1,1,7,3,6,3,3
1002,2016,11,A,3,147,1,1,7,270,1,1,7,1,237,1,1,8,240,1,1,8,1,1,2,1
1003,2016,11,A,3,129,2,2,7,270,1,1,7,2,237,1,1,8,240,1,1,8,2,2,2,1
1004,2016,11,B,3,111,1,3,7,270,1,1,7,1,237,1,1,8,240,1,1,8,1,3,4,2
1006,2016,11,B,3,75,2,5,7,270,1,1,7,2,237,1,1,8,240,1,1,8,2,5,4,3
1007,2016,11,B,3,53,3,6,7,270,1,1,7,3,237,1,1,8,240,1,1,8,3,6,4,3
1009,2016,11,B,3,0,4,8,7,0,4,8,7,4,237,1,1,8,240,1,1,8,4,7,4,4
1005,2016,11,C,3,93,1,4,7,270,1,1,7,1,237,1,1,8,240,1,1,8,1,4,2,2
1008,2016,11,C,3,53,2,6,7,270,1,1,7,2,237,1,1,8,240,1,1,8,2,6,2,4
1002,2017,12,B,3,36,10,12,13,270,1,1,13,9,80,3,4,6,160,3,4,6,3,4,11,1
1003,2017,12,B,2,30,11,13,13,180,10,12,13,11,80,3,4,6,160,3,4,6,6,7,11,2
1004,2017,12,B,3,60,7,9,13,270,1,1,13,7,160,1,1,6,240,1,1,6,1,2,11,1
1006,2017,12,B,3,56,9,11,13,270,1,1,13,8,160,1,1,6,240,1,1,6,2,3,11,1
1007,2017,12,B,2,58,8,10,13,180,10,12,13,10,80,3,4,6,160,3,4,6,4,5,11,2
1008,2017,12,B,3,102,6,7,13,270,1,1,13,6,0,6,7,6,0,6,7,6,10,12,11,4
1009,2017,12,B,3,120,5,6,13,270,1,1,13,5,0,6,7,6,0,6,7,6,9,11,11,4
1011,2017,12,B,3,156,4,4,13,270,1,1,13,4,0,6,7,6,0,6,7,6,8,9,11,3
1012,2017,12,B,3,166,3,3,13,270,1,1,13,3,0,6,7,6,0,6,7,6,7,8,11,3
1013,2017,12,B,3,180,2,2,13,270,1,1,13,2,0,6,7,6,0,6,7,6,6,7,11,3
1014,2017,12,B,3,198,1,1,13,270,1,1,13,1,0,6,7,6,0,6,7,6,5,6,11,2
1005,2017,12,C,3,78,2,8,13,270,1,1,13,2,160,1,1,6,240,1,1,6,1,1,2,1
1010,2017,12,C,3,138,1,5,13,270,1,1,13,1,0,2,7,6,0,2,7,6,2,10,2,4
